	featureCounts on dataset 110 and 121: egtBmutant	featureCounts on dataset 109 and 121: egtBmutant 2	featureCounts on dataset 108 and 121: egtBmutant3	featureCounts on dataset 113 and 121: wildtype 1	featureCounts on dataset 112 and 121: wildtype 2	featureCounts on dataset 111 and 121: wildtype 3
gene-BTH_RS00005	476.211872484341	606.020382958063	509.737487818746	386.71435536325	454.09268210842	401.605033906864
gene-BTH_RS00010	393.308591039698	549.791687632058	335.459651074392	611.413718953369	585.855786509185	625.934821239037
gene-BTH_RS00015	132.066855324605	149.943187536016	143.048860217909	252.666237170004	283.127331770238	218.858329104558
gene-BTH_RS00020	249.673835978632	257.937983320884	297.178970171008	238.200612904546	265.704111353608	264.818578216516
gene-BTH_RS00025	1559.73848113292	1852.86938883791	1649.0914378642	2276.88925938313	2288.97558223477	2277.22091433293
gene-BTH_RS00030	935.071895363989	939.822479020384	1037.60792974962	1242.11493692735	1398.21343843456	1158.85485260864
gene-BTH_RS34740	203.402237032785	170.471123924875	169.24090504654	246.879987463821	261.348306249451	196.972496194102
gene-BTH_RS00040	43.3796240117314	68.7239609540072	48.3545442990115	82.9362457886273	78.4044918748352	80.9775817686866
gene-BTH_RS00045	0	0	0	0	0	0
gene-BTH_RS00050	203.402237032785	204.386844915164	251.846584890685	251.701862218974	231.946621796387	214.481162522467
gene-BTH_RS00055	119.534963943438	141.017997801729	173.270450404791	148.513742458705	126.318348020568	133.503580753781
gene-BTH_RS00060	125.318913811669	140.1254788283	142.041473878346	127.297493536033	119.784640364331	121.46637265303
gene-BTH_RS00065	185.086395783387	166.008529057732	182.336927460856	149.478117409735	133.941006952843	154.295122018714
gene-BTH_RS00070	293.053459990363	242.765160772597	335.459651074392	233.378738149393	215.612352655797	225.424078977695
gene-BTH_RS00075	110.859039141091	74.9715937680078	91.6721569002093	93.5443702499633	99.0945661195833	55.8088739216624
gene-BTH_RS00080	61.6954652611292	53.5511384057199	47.3471579594488	74.2568712293523	52.2696612498901	60.1860405037535
gene-BTH_RS00085	241.961902820991	227.59233822431	242.78010783462	288.348110358134	305.995308567065	252.781370115765
gene-BTH_RS00090	75.1913482870012	83.0042645288658	52.3840896572625	96.437495103055	75.137638046717	78.788998477641
MSTRG.18.1	12.5318913811669	15.1728225482873	9.06647705606466	16.3943741675193	18.5121716926694	16.4143746828419
gene-BTH_RS00095	0	0	0	0	0	0
gene-BTH_RS00100	0	0	0	0	0	0
gene-BTH_RS00105	0	0	0	0	0	0
MSTRG.18.5	0	0	0	0	0	0
gene-BTH_RS00115	0	0	0	0	0	0
gene-BTH_RS00125	0	0	0	0	0	0
gene-BTH_RS00130	0	0	0	0	0	0
gene-BTH_RS00110	0	0	0	0	0	0
gene-BTH_RS00120	0	0	0	0	0	0
gene-BTH_RS00135	8.67592480234629	20.5279363888593	19.1403404516921	24.1093737757637	4.35580510415751	25.1687078470242
gene-BTH_RS00140	0	0	0	0	0	0
gene-BTH_RS00145	67.47941512936	111.564871678583	90.6647705606466	82.9362457886273	82.7602969789927	62.3746237947991
gene-BTH_RS00150	50.1275655246674	153.51326342973	42.3102262616351	77.149996082444	66.426027838402	56.9031655671852
gene-BTH_RS00155	1.92798328941029	0	0	1.9287499020611	2.17790255207875	1.09429164552279
gene-BTH_RS00160	0	0	0	0	0	0
gene-BTH_RS00165	212.078161835131	162.438453164017	171.255677725666	181.302490793743	160.075837577788	221.046912395604
gene-BTH_RS00170	153.274671508118	160.65341521716	189.388631837795	194.803740108171	172.054301614222	163.049455182896
gene-BTH_RS00175	457.896031234943	383.783158574326	399.932376806408	447.469977278175	450.825828280302	500.091282003916
gene-BTH_RS00180	5745.39020244265	5991.47986862663	5265.60839689444	4636.71476455488	5155.09534077041	4527.08453752779
gene-BTH_RS00185	1496.11503258238	1861.79457857219	1670.24655099502	1940.32240147347	1949.22278411049	1600.94867739984
gene-BTH_RS00190	424.156323670263	427.51658827233	534.922146307815	171.658741283438	185.121716926694	147.729372145577
gene-BTH_RS00195	416.444390512622	422.161474431759	463.39771619886	224.699363590118	201.455986067285	248.404203533674
gene-BTH_RS00200	154.238663152823	151.728225482873	163.196587009164	142.727492752521	192.74437585897	158.672288600805
gene-BTH_RS00205	145.562738350477	157.083339323445	146.071019236597	156.228742066949	158.986886301749	117.089206070939
gene-BTH_RS00210	707.569867213575	730.080520264648	804.901685310629	756.069961607951	750.287429191131	784.607109839841
gene-BTH_RS00215	556.223178994868	514.98344766834	598.387485700267	694.349964741996	651.192863071548	715.666736171906
gene-BTH_RS00220	526.339438009008	524.801156376055	599.39487203983	572.838720912147	655.548668175705	583.257447063648
gene-BTH_RS00225	126.282905456374	126.73769422687	131.967610482719	132.119368291185	103.450371223741	120.372081007507
gene-BTH_RS00230	104.111097628155	79.4341886351512	98.7238612771485	90.6512453968717	53.3586125259295	74.4118318955498
gene-BTH_RS00235	155.202654797528	166.90104803116	201.477267912548	144.656242654582	103.450371223741	125.843539235121
gene-BTH_RS00240	212.078161835131	199.924250048021	254.868743909373	144.656242654582	124.140445468489	141.16362227244
gene-BTH_RS00245	315.225267818582	323.091868381177	327.40056035789	226.628113492179	206.900742447482	227.612662268741
gene-BTH_RS00250	260.277744070389	317.736754540605	280.053402398442	189.981865353018	200.367034791245	186.029579738875
gene-BTH_RS00255	65.5514318399497	97.2845681037245	86.6352252023956	49.183122502558	32.6685382811813	41.5830825298661
gene-BTH_RS00260	129.174880390489	182.966389552876	84.6204525232701	92.5799952989328	63.1591740102839	103.957706324665
gene-BTH_RS00265	55.9115153928983	140.1254788283	45.3323852803233	64.6131217190468	80.5823944269139	78.788998477641
gene-BTH_RS00270	49.1635738799623	276.680881762886	38.2806809033841	56.8981221108024	47.9138561457326	60.1860405037535
gene-BTH_RS00275	25.0637827623337	134.770364987728	40.2954535825096	39.5393729922525	30.4906357291026	45.9602491119572
gene-BTH_RS00280	76.1553399317063	368.610336026039	88.6499978815211	102.223744809238	96.9166635675046	112.712039488848
gene-BTH_RS00285	129.174880390489	249.012793586597	129.952837803593	182.266865744774	164.431642681946	136.786455690349
gene-BTH_RS00290	4.81995822352572	11.6027466545726	10.0738633956274	3.8574998041222	3.26685382811813	4.37716658209117
gene-BTH_RS00295	202.43824538808	308.811564806318	240.765335155495	234.343113100424	222.146060312033	267.007161507561
gene-BTH_RS00300	90.6152146022834	99.0696060505818	88.6499978815211	136.941243046338	92.5608584633471	125.843539235121
gene-BTH_RS00305	84.8312647340526	74.9715937680078	70.5170437693918	104.152494711299	88.2050533591896	78.788998477641
gene-BTH_RS00310	218.826103348067	238.302565905454	289.119879454506	295.098735015348	276.593624114002	225.424078977695
gene-BTH_RS00315	141.706771771656	140.1254788283	228.676699080742	160.086241871071	135.029958228883	108.334872906756
gene-BTH_RS00320	0	0	0	0	1.08895127603938	0
gene-BTH_RS00325	0	0	0	0	0	0
