geneID	Base mean	log2(FC)	STDERR	Waldstats	P-value	P-adjust
gene-BTH_RS04375	4827.077911	-4.256478548	0.143748424	-29.61061019	1.09E-192	4.31E-190
gene-BTH_RS01185	894.1222564	-4.208977611	0.195444605	-21.53539929	7.26E-103	1.66E-100
gene-BTH_RS04370	5725.727733	-4.103222698	0.149384507	-27.4675252	4.29E-166	1.56E-163
gene-BTH_RS04385	3213.544797	-4.056673169	0.169471672	-23.93717558	1.26E-126	3.22E-124
gene-BTH_RS04365	4040.108805	-3.885935067	0.124270642	-31.26993636	1.20E-214	5.78E-212
gene-BTH_RS04380	272.768421	-3.860069433	0.253890643	-15.20366952	3.34E-52	3.93E-50
gene-BTH_RS01195	765.1397051	-3.846354401	0.224586075	-17.12641536	9.43E-66	1.46E-63
gene-BTH_RS04360	680.7511247	-3.564397543	0.195021642	-18.27693329	1.26E-74	2.20E-72
gene-BTH_RS04390	2740.008857	-3.560661398	0.143964734	-24.73287242	4.74E-135	1.29E-132
gene-BTH_RS04405	4601.844155	-3.427984076	0.130495668	-26.26894915	4.34E-152	1.45E-149
gene-BTH_RS25830	985.386607	3.24956347	0.139473331	23.29881596	4.56E-120	1.10E-117
gene-BTH_RS34680	910.9517676	4.071094037	0.134463044	30.27667605	2.33E-201	1.01E-198
gene-BTH_RS25840	1237.282568	4.8095939	0.137191235	35.05758882	2.99E-269	1.62E-266
gene-BTH_RS25845	2175.607339	4.992648542	0.129021268	38.69632214	0	0
gene-BTH_RS25850	2316.219177	5.448812689	0.13717581	39.72138167	0	0
gene-BTH_RS25855	5666.295365	5.515503551	0.116168614	47.47843121	0	0
gene-BTH_RS25875	7601.348055	5.607468792	0.111290023	50.38608714	0	0
gene-BTH_RS25865	10757.73263	5.704013373	0.116307295	49.04261054	0	0
gene-BTH_RS25870	9472.590953	5.773774837	0.120282462	48.00180109	0	0
gene-BTH_RS25860	8886.973505	5.776530973	0.105596656	54.70373	0	0
