geneID	Base mean	log2(FC)	STDERR	Waldstats	P-value	P-adjust	
gene-J2S48_RS21205	55.95072471	-7.664886681	0.891489507	-8.597842847	8.12E-18	3.27E-16	
gene-J2S48_RS10185	45247.29985	-6.050335097	0.528794844	-11.44174375	2.59E-30	5.03E-28	
MSTRG.1489.1	20.20192422	-5.710904902	1.050352843	-5.437129954	5.41E-08	5.11E-07	
gene-J2S48_RS15265	98.50097492	-5.70017062	0.74010251	-7.701866356	1.34E-14	3.13E-13	
gene-J2S48_RS06495	9456.162059	-5.250271422	0.915226613	-5.736580808	9.66E-09	1.05E-07	
gene-J2S48_RS06480	8674.621826	-5.124405896	0.590581314	-8.67688458	4.07E-18	1.68E-16	
gene-J2S48_RS06820	11.50706565	-4.927369979	1.092542581	-4.510002688	6.48E-06	4.05E-05	
MSTRG.190.1	2662.448032	-4.911879176	0.560761828	-8.759296604	1.96E-18	8.39E-17	
gene-J2S48_RS16660	7572.995404	-4.860208333	0.33982084	-14.30226683	2.12E-46	9.27E-44	
	132.2867451	-4.726128772	1.140673081	-4.14328071	3.42E-05	0.000184797	
gene-J2S48_RS05740	258.5314099	-4.630345382	0.496053162	-9.334373278	1.02E-20	5.93E-19	
MSTRG.47.1	86590.89456	-4.483581898	0.506411113	-8.853640417	8.47E-19	3.85E-17	
MSTRG.1822.1	8058.702412	-4.432345786	0.486983587	-9.101632794	8.90E-20	4.65E-18	
gene-J2S48_RS00240	149.8818653	-4.418167525	0.534529504	-8.265526018	1.39E-16	4.73E-15	
MSTRG.1727.1	6158.792056	-4.397372129	0.571491754	-7.694550444	1.42E-14	3.27E-13	
MSTRG.50.1	41427.14512	-4.319892757	0.899499271	-4.802552814	1.57E-06	1.12E-05	
gene-J2S48_RS00840	271.0794734	-4.197743248	0.553363673	-7.585867036	3.30E-14	7.37E-13	
gene-J2S48_RS16800	449.8770877	-4.1846941	0.408613481	-10.24120419	1.30E-24	1.19E-22	
gene-J2S48_RS15235	181.3431761	-4.167287365	0.674139418	-6.181640259	6.34E-10	8.05E-09	
gene-J2S48_RS10180	295.6378508	-4.010143391	0.525459918	-7.631682744	2.32E-14	5.31E-13	
gene-J2S48_RS25390	124.6231076	-3.924613668	0.605951809	-6.476775232	9.37E-11	1.32E-09	
gene-J2S48_RS25930	570.2777552	-3.922272995	0.378445554	-10.36416719	3.61E-25	3.72E-23	
